longitude,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price
-73.9616,1.0,0.0,4.0,177.0,2000
-73.95341,3.0,29.0,1.0,15.0,59
-73.92153,2.0,31.0,1.0,169.0,115
-73.95922,3.0,2.0,1.0,0.0,160
-73.94476,13.0,2.0,1.0,0.0,37
-73.99181,3.0,13.0,1.0,0.0,145
-73.96156,1.0,1.0,3.0,0.0,80
-73.9194,21.0,0.0,1.0,0.0,82
-73.87359,1.0,6.0,1.0,0.0,50
-73.95073,3.0,4.0,1.0,0.0,200
-73.98757,2.0,53.0,1.0,0.0,160
-73.9365,3.0,44.0,1.0,64.0,169
-73.96526,3.0,31.0,1.0,0.0,210
-74.00721,2.0,3.0,1.0,158.0,525
-73.96161,4.0,6.0,1.0,6.0,50
-73.95969,3.0,12.0,1.0,0.0,120
-73.99333,1.0,1.0,8.0,0.0,84
-73.95249,3.0,6.0,1.0,1.0,113
-73.95615,2.0,6.0,1.0,0.0,200
-73.98929,10.0,5.0,1.0,0.0,150
-74.00128,3.0,1.0,1.0,7.0,350
-73.9998,2.0,0.0,1.0,2.0,800
-73.76711,1.0,0.0,2.0,179.0,159
-73.962,2.0,2.0,1.0,0.0,75
-73.9689,3.0,1.0,1.0,5.0,140
-73.9487,2.0,3.0,1.0,0.0,55
-73.98784,90.0,0.0,1.0,173.0,80
-73.95684,2.0,14.0,1.0,0.0,54
-73.94781,3.0,15.0,1.0,0.0,350
-73.91065,1.0,5.0,2.0,31.0,70
-73.97275,7.0,1.0,6.0,313.0,25
-73.96239,2.0,114.0,1.0,314.0,155
-73.98168,1.0,19.0,3.0,37.0,115
-73.96379,1.0,5.0,1.0,0.0,90
-73.87785,1.0,35.0,2.0,365.0,50
-73.99716,2.0,119.0,1.0,0.0,220
-73.98928,2.0,4.0,1.0,29.0,190
-73.92318,1.0,113.0,3.0,288.0,49
-73.95646,1.0,4.0,1.0,0.0,57
-73.98237,4.0,2.0,2.0,0.0,49
-73.99815,3.0,10.0,1.0,0.0,900
-73.99277,3.0,5.0,1.0,362.0,1500
-74.0051,2.0,52.0,1.0,72.0,150
-73.99036,1.0,63.0,4.0,29.0,69
-73.9558,3.0,8.0,1.0,0.0,110
-73.96602,30.0,4.0,1.0,47.0,115
-73.78207,1.0,0.0,2.0,0.0,750
-73.95173,2.0,7.0,4.0,3.0,95
-73.94738,1.0,71.0,2.0,35.0,80
-73.99008,3.0,15.0,1.0,4.0,198
-73.9782,7.0,25.0,1.0,359.0,95
-73.92673,3.0,10.0,1.0,0.0,136
-73.98764,1.0,0.0,1.0,0.0,180
-73.91449,3.0,50.0,2.0,352.0,130
-74.00084,1.0,6.0,1.0,2.0,195
-73.95655,1.0,1.0,1.0,0.0,60
-73.94163,1.0,5.0,1.0,338.0,185
-73.91415,7.0,15.0,1.0,0.0,80
-73.95223,1.0,1.0,1.0,0.0,80
-73.98403,5.0,0.0,1.0,0.0,175
-73.99709,7.0,9.0,47.0,337.0,62
-73.73837,2.0,22.0,1.0,47.0,250
-73.98191,1.0,0.0,8.0,0.0,275
-73.94539,2.0,37.0,1.0,0.0,94
-73.9813,2.0,6.0,1.0,39.0,136
-73.98325,2.0,4.0,2.0,0.0,95
-73.94158,2.0,61.0,3.0,42.0,69
-73.95422,7.0,0.0,1.0,0.0,42
-73.97903,3.0,3.0,1.0,0.0,320
-73.9193,2.0,28.0,1.0,0.0,62
-73.93508,6.0,0.0,1.0,0.0,90
-73.9892,1.0,0.0,1.0,0.0,190
-73.98847,2.0,3.0,2.0,0.0,155
-74.01774,1.0,67.0,1.0,8.0,49
-73.94446,1.0,1.0,1.0,0.0,60
-73.95825,2.0,14.0,1.0,0.0,60
-73.94138,3.0,3.0,2.0,0.0,120
-73.98662,30.0,52.0,1.0,314.0,139
-73.98546,2.0,29.0,1.0,65.0,350
-73.97595,1.0,114.0,1.0,157.0,290
-73.99794,7.0,2.0,1.0,0.0,45
-73.99435,30.0,3.0,31.0,339.0,125
-73.97111,35.0,0.0,1.0,0.0,80
-73.94894,6.0,7.0,1.0,4.0,149
-73.94881,30.0,0.0,3.0,84.0,37
-73.95793,2.0,3.0,1.0,268.0,149
-73.98118,2.0,81.0,1.0,6.0,112
-73.97691,3.0,0.0,1.0,0.0,175
-73.95951,3.0,1.0,10.0,281.0,40
-73.98492,5.0,7.0,1.0,1.0,221
-73.94146,3.0,0.0,1.0,359.0,300
-73.77464,2.0,0.0,2.0,90.0,75
-74.00721,2.0,4.0,1.0,0.0,195
-73.92135,2.0,11.0,1.0,6.0,120
-73.98235,1.0,0.0,1.0,0.0,260
-73.98508,2.0,1.0,1.0,0.0,150
-73.95015,31.0,6.0,33.0,326.0,287
-73.94191,3.0,32.0,3.0,78.0,172
-73.93206,4.0,1.0,2.0,0.0,47
-73.96623,5.0,55.0,1.0,0.0,89
-73.96234,7.0,3.0,1.0,43.0,160
-73.97523,30.0,0.0,25.0,305.0,48
-73.94243,2.0,3.0,1.0,364.0,205
-73.98998,2.0,1.0,1.0,0.0,300
-73.96757,10.0,0.0,1.0,0.0,115
-74.00213,5.0,1.0,1.0,365.0,700
-73.96084,3.0,2.0,1.0,0.0,130
-73.95687,3.0,7.0,1.0,131.0,42
-74.00429,3.0,51.0,3.0,276.0,80
-73.95142,10.0,0.0,1.0,0.0,78
-73.9288,30.0,1.0,2.0,111.0,100
-73.94528,7.0,0.0,1.0,0.0,120
-73.92918,2.0,18.0,2.0,5.0,55
-73.95345,2.0,37.0,1.0,229.0,225
-73.93426,5.0,0.0,1.0,43.0,100
-73.97402,30.0,1.0,232.0,218.0,244
-73.97896,26.0,58.0,3.0,129.0,75
-73.85522,1.0,143.0,1.0,282.0,99
-73.89114,3.0,1.0,1.0,59.0,70
-74.00137,4.0,11.0,1.0,259.0,200
-73.98515,3.0,107.0,1.0,99.0,150
-73.98805,1.0,49.0,4.0,24.0,89
